sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
8.803;1341;;10s;Yes;No;3;0.70401;0.84001;0.00000;0.10301;2.37986;ParsCat@0;YXAgent@1;Caduceus@2;0.8358333333333332;0.8400142500258816;0.7040114379358235;0.8358333333333332;0.8400142500258816;0.7040114379358235;party1_utility.xml;party2_utility.xml;party3_utility.xml
9.207;1288;;10s;Yes;No;3;0.75837;0.80821;0.00000;0.19343;2.36742;YXAgent@3;ParsCat@4;Caduceus@5;0.8008333333333335;0.7583749102078432;0.8082124369340867;0.8008333333333335;0.7583749102078432;0.8082124369340867;party1_utility.xml;party2_utility.xml;party3_utility.xml
10.000;1254;;10s;No;No;1;0.00000;0.00000;1.16612;1.41191;0.00000;Caduceus@6;ParsCat@7;YXAgent@8;0.0;0.0;0.0;0.0;0.0;0.0;party1_utility.xml;party2_utility.xml;party3_utility.xml
8.356;1166;;10s;Yes;No;3;0.75837;0.80821;0.00000;0.19343;2.36742;ParsCat@9;Caduceus@10;YXAgent@11;0.8008333333333335;0.7583749102078432;0.8082124369340867;0.8008333333333335;0.7583749102078432;0.8082124369340867;party1_utility.xml;party2_utility.xml;party3_utility.xml
9.455;1248;;10s;Yes;No;3;0.69241;0.85649;0.00000;0.09921;2.39723;YXAgent@12;Caduceus@13;ParsCat@14;0.8483333333333334;0.8564909885811369;0.6924080946242358;0.8483333333333334;0.8564909885811369;0.6924080946242358;party1_utility.xml;party2_utility.xml;party3_utility.xml
8.527;1222;;10s;Yes;No;3;0.72500;0.84506;0.00000;0.18156;2.38404;Caduceus@15;YXAgent@16;ParsCat@17;0.7250000000000001;0.813972655466302;0.8450642903160794;0.7250000000000001;0.813972655466302;0.8450642903160794;party1_utility.xml;party2_utility.xml;party3_utility.xml
